[2025-11-19 13:47:05] [FAIL] 000982.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\000982.csv
[2025-11-19 13:47:05] [FAIL] 000996.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\000996.csv
[2025-11-19 13:47:08] [FAIL] 002113.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\002113.csv
[2025-11-19 13:47:08] [FAIL] 002118.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\002118.csv
[2025-11-19 13:47:10] [FAIL] 300495.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\300495.csv
[2025-11-19 13:47:10] [FAIL] 300526.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\300526.csv
[2025-11-19 13:47:11] [FAIL] 600077.SH | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\600077.csv
[2025-11-19 13:47:12] [FAIL] 600112.SH | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\600112.csv
[2025-11-19 13:47:16] [FAIL] 601258.SH | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\601258.csv
[2025-11-19 13:47:17] [FAIL] 300392.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\300392.csv
[2025-11-19 13:47:18] [FAIL] 600122.SH | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\600122.csv
[2025-11-19 13:47:19] [FAIL] 600139.SH | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\600139.csv
[2025-11-19 13:47:20] [FAIL] 688086.SH | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\688086.csv
[2025-11-19 13:47:22] [FAIL] 300282.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\300282.csv
[2025-11-19 13:47:23] [FAIL] 002751.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\002751.csv
[2025-11-19 13:47:26] [FAIL] 600213.SH | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\600213.csv
[2025-11-19 13:47:26] [FAIL] 600220.SH | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\600220.csv
[2025-11-19 13:47:30] [FAIL] 603603.SH | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\603603.csv
